plantCombinationName;;plantCombinationRank;plantCombinationList
Adenostylion alliariae;Br.-Bl. 1926;VRB;      Adenostylion alliariae
Salicetum appendiculatae;Oberd. 1957;ASS;        Salicetum appendiculatae
Alnetum viridis;Br.-Bl. 1918;ASS;        Alnetum viridis
Cicerbitetum alpinae;Bolleter 1921;ASS;        Cicerbitetum alpinae
Salicetum waldsteinianae;Beger 1922;ASS;        Salicetum waldsteinianae
Luzuletum desvauxii;Issler 1936;ASS;        Luzuletum desvauxii
Allium victoralis-Gesellschaft;;ASS;        Allium victoralis-Gesellschaft
Calamagrostion villosae;Pawlowski et al. 1928;VRB;      Calamagrostion villosae
Centaureo montanae-Calamagrostietum arundinaceae;J. Bartsch et M. Bartsch 1940;ASS;        Centaureo montanae-Calamagrostietum arundinaceae
Athyrietum distentifolii;Nordhagen 1928 nom. conserv. propos.;ASS;        Athyrietum distentifolii
Hieracium aurantiacum-Calamagrostis villosa-Gesellschaft;;ASS;        Hieracium aurantiacum-Calamagrostis villosa-Gesellschaft
Ranunculus platanifolius-Calamagrostis villosa-Gesellschaft;;ASS;        Ranunculus platanifolius-Calamagrostis villosa-Gesellschaft
IX. Zwergstrauch-Gesellschaften und Borstgras-Rasen;;FOR;IX. Zwergstrauch-Gesellschaften und Borstgras-Rasen
Salicetea herbaceae;Br.-Bl. 1948;KLA;  Salicetea herbaceae
Salicetalia herbaceae;Br.-Bl. in Br.-Bl. et Jenny 1926;ORD;    Salicetalia herbaceae
Salicion herbaceae;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Salicion herbaceae
Salicetum herbaceae;Rübel 1911;ASS;        Salicetum herbaceae
Luzuletum alpinopilosae;Br.-Bl. in Br.-Bl. et Jenny 1926;ASS;        Luzuletum alpinopilosae
Poo-Cerastietum cerastioidis;(Söyrinki 1954) Oberdorfer 1957;ASS;        Poo-Cerastietum cerastioidis
Gnaphalium supinum-Gesellschaft;;ASS;        Gnaphalium supinum-Gesellschaft
Polytrichetum sexangularis;Frey 1922;ASS;        Polytrichetum sexangularis
Calluno-Ulicetea;Br.-Bl. et Tx. ex Westhoff et al. 1946;KLA;  Calluno-Ulicetea
Deschampsia flexuosa-Gesellschaft;;ASS;        Deschampsia flexuosa-Gesellschaft
Nardetalia;Oberd. ex Preising 1949;ORD;    Nardetalia
Violion caninae;Schwickerath 1944;VRB;      Violion caninae
Galium saxatile-Nardus stricta-Gesellschaft;;ASS;        Galium saxatile-Nardus stricta-Gesellschaft
Festuco-Genistelletum sagittalis;Issler 1929;ASS;        Festuco-Genistelletum sagittalis
Festuco-Genistelletum sagittalis s.str.;Issler 1929;ZEH;          Festuco-Genistelletum sagittalis s.str.
Polygalo-Nardetum;Oberd. 1957;ZEH;          Polygalo-Nardetum
Botrychio-Polygaletum vulgaris;Preising 1950;ZEH;          Botrychio-Polygaletum vulgaris
Polygono vivipari-Genistetum sagittalis;(Kuhn 1937) Th. Müller in Oberdorfer et al. 1978;ZEH;          Polygono vivipari-Genistetum sagittalis
Aveno-Genistetum sagittalis;Oberd. 1957;ZEH;          Aveno-Genistetum sagittalis
Juncetum squarrosi;Nordhagen 1922 nom. conserv. propos.;ASS;        Juncetum squarrosi
Juncetum squarrosi s.str.;Nordhagen 1922 nom. conserv. propos.;ZEH;          Juncetum squarrosi s.str.
Nardo-Gentianetum pneumonanthis;Preising 1950;ZEH;          Nardo-Gentianetum pneumonanthis
Nardion;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Nardion
Geo montani-Nardetum strictae;Lüdi 1948 nom. mutat. propos.;ASS;        Geo montani-Nardetum strictae
Leontodon helveticus-Nardus stricta-Gesellschaft;;ASS;        Leontodon helveticus-Nardus stricta-Gesellschaft
Diphasiastrum alpinum-Nardus stricta-Gesellschaft;;ASS;        Diphasiastrum alpinum-Nardus stricta-Gesellschaft
Pulsatilla alba-Nardus stricta-Gesellschaft;;ASS;        Pulsatilla alba-Nardus stricta-Gesellschaft
Vaccinio-Genistetalia;R. Schubert 1960;ORD;    Vaccinio-Genistetalia
Genistion pilosae;Duvigneaud 1942;VRB;      Genistion pilosae
Genistion pilosae-Basalgesellschaft;;ASS;        Genistion pilosae-Basalgesellschaft
Euphorbio-Callunetum;R. Schubert 1960;ZEH;          Euphorbio-Callunetum
Genisto pilosae-Callunetum;Braun 1915 nom. invers. propos.;ASS;        Genisto pilosae-Callunetum
Salix repens-Calluna vulgaris-Gesellschaft;;ZEH;          Salix repens-Calluna vulgaris-Gesellschaft
Genisto germanicae-Callunetum;Oberd. 1957;ASS;        Genisto germanicae-Callunetum
Cytiso supini-Antennarietum;Preising 1953;ASS;        Cytiso supini-Antennarietum
Vaccinio-Callunetum;Büker 1942 nom. invers. propos.;ASS;        Vaccinio-Callunetum
Anemono micranthae-Callunetum;R. Schubert 1960;ZEH;          Anemono micranthae-Callunetum
Empetrion nigri;R. Schubert ex Westhoff et Den Held 1969;VRB;      Empetrion nigri
Hieracio-Empetretum;Libbert ex Passarge 1964;ASS;        Hieracio-Empetretum
X. Gebüsche und Vorwälder, anthropogene Gehölzgesellschaften;;FOR;X. Gebüsche und Vorwälder, anthropogene Gehölzgesellschaften
Franguletea;Doing ex Westhoff in Westhoff et den Held 1969;KLA;  Franguletea
Rubetalia plicati;Weber in Pott 1995;ORD;    Rubetalia plicati
Ulici-Sarothamnion;Doing ex Weber 1997;VRB;      Ulici-Sarothamnion
Rubo plicati-Sarothamnetum;Weber 1987;ASS;        Rubo plicati-Sarothamnetum
Lonicero-Rubion silvatici;Tüxen et Neumann ex Wittig 1977;VRB;      Lonicero-Rubion silvatici
Rubetum grati;Tüxen et Neumann ex Weber 1976;ASS;        Rubetum grati
Rubetum silvatici;Weber in Pott 1995;ASS;        Rubetum silvatici
Rubetum sciocharitis;Weber in Pott 1995;ASS;        Rubetum sciocharitis
Rubetum pedemontani;Weber in Pott 1995;ASS;        Rubetum pedemontani
Rubus plicatus-Frangula-Gesellschaft;;ASS;        Rubus plicatus-Frangula-Gesellschaft
Rubus scissus-Salix aurita-Gesellschaft;;ASS;        Rubus scissus-Salix aurita-Gesellschaft
Salix repens-Salix aurita-Gesellschaft;;ASS;        Salix repens-Salix aurita-Gesellschaft
Rubus plicatus-Myrica gale-Gesellschaft;;ASS;        Rubus plicatus-Myrica gale-Gesellschaft
Salicetalia auritae;Doing ex Steffen 1968 nom. conserv. propos.;ORD;    Salicetalia auritae
Salicion cinereae;Th. Müller et Görs ex Passarge 1961;VRB;      Salicion cinereae
Betuletum humilis;Steffen 1931;ASS;        Betuletum humilis
Myricetum gale;Jonas ex Dierschke 1969 nom. conserv. propos.;ASS;        Myricetum gale
Frangulo-Salicetum auritae;Tx. 1937;ASS;        Frangulo-Salicetum auritae
Salicetum pentandro-cinereae;Passarge 1961;ASS;        Salicetum pentandro-cinereae
Frangulo-Salicetum cinereae;Graebner et Hueck 1931 nom. invers. propos.;ASS;        Frangulo-Salicetum cinereae
Salicetum cinereo-argenteae;Weber et Preising in Weber 1998;ASS;        Salicetum cinereo-argenteae
Rhamno-Prunetea;Rivas Goday et Borja Carbonell ex Tx. 1962;KLA;  Rhamno-Prunetea
Prunetalia spinosae;Tx. 1952;ORD;    Prunetalia spinosae
Prunetalia spinosae-Basalgesellschaft;;ASS;        Prunetalia spinosae-Basalgesellschaft
Berberidion vulgaris;Br.-Bl. 1950;VRB;      Berberidion vulgaris
Cotoneastro-Amelanchieretum;Faber ex Th. Müller 1966;ASS;        Cotoneastro-Amelanchieretum
Pruno-Ligustretum;Tx. 1952 nom. conserv. propos.;ASS;        Pruno-Ligustretum
Coronillo-Prunetum mahaleb;Gallandat 1972;ASS;        Coronillo-Prunetum mahaleb
Crataego-Prunetum fruticosae;Soó 1951;ASS;        Crataego-Prunetum fruticosae
Violo hirtae-Cornetum maris;Hilbig et Klotz 1990;ASS;        Violo hirtae-Cornetum maris
Roso vosagiacae-Coryletum;Oberd. 1957;ASS;        Roso vosagiacae-Coryletum
Berberido-Hippophaëtum fluviatilis;Moor 1958 nom. invers. propos.;ASS;        Berberido-Hippophaëtum fluviatilis
Pado-Coryletum;Moor 1958;ASS;        Pado-Coryletum
Salix purpurea-Viburnum opulus-Gesellschaft;;ASS;        Salix purpurea-Viburnum opulus-Gesellschaft
Ulmus minor-Gesellschaft;;ASS;        Ulmus minor-Gesellschaft
Carpino-Prunion;Weber 1974;VRB;      Carpino-Prunion
Crataego-Prunetum spinosae;Hueck 1931 nom. invers. propos.;ASS;        Crataego-Prunetum spinosae
Pruno-Rubion radulae;Weber 1974;VRB;      Pruno-Rubion radulae
Rosa canina-Juniperus communis-Gesellschaft;;ASS;        Rosa canina-Juniperus communis-Gesellschaft
Carici brizoidis-Coryletum;Weber 1999;ASS;        Carici brizoidis-Coryletum
Prunus spinosa-Rubus albiflorus-Gesellschaft;;ASS;        Prunus spinosa-Rubus albiflorus-Gesellschaft
Pruno-Rubetum bifrontis;Weber 1990;ASS;        Pruno-Rubetum bifrontis
Pruno-Rubetum sprengelii;Weber 1967;ASS;        Pruno-Rubetum sprengelii
Pruno-Rubetum elegantispinosi;Weber 1974;ASS;        Pruno-Rubetum elegantispinosi
Pruno-Rubetum radulae;Weber 1967;ASS;        Pruno-Rubetum radulae
Rubus montanus-Prunus spinosa-Gesellschaft;;ASS;        Rubus montanus-Prunus spinosa-Gesellschaft
Pruno-Rubetum praecocis;Weber 1986;ASS;        Pruno-Rubetum praecocis
Pruno-Rubetum vestiti;Weber 1974;ASS;        Pruno-Rubetum vestiti
Sambucetalia racemosae;Oberd. ex Passarge in Scamoni 1963;ORD;    Sambucetalia racemosae
Ribes alpinum-Gebüsche;;ASS;        Ribes alpinum-Gebüsche
Senecioni ovati-Corylion;Weber 1997;VRB;      Senecioni ovati-Corylion
Senecioni ovati-Coryletum;Passarge 1979;ASS;        Senecioni ovati-Coryletum
Sambuco racemosae-Salicion capreae;Tx. et Neumann ex Oberd. 1957;VRB;      Sambuco racemosae-Salicion capreae
Rubus idaeus-Gesellschaft;;ASS;        Rubus idaeus-Gesellschaft
Sambuco racemosae-Rubetum rudis;Tx. et Neumann ex Weber 1999;ASS;        Sambuco racemosae-Rubetum rudis
Senecio fuchsii-Sambucetum racemosae;Oberd. 1957;ASS;        Senecio fuchsii-Sambucetum racemosae
Salicetum capreae;Schreier 1955;ASS;        Salicetum capreae
Sorbus aucuparia-Picea abies-Gesellschaft;;ASS;        Sorbus aucuparia-Picea abies-Gesellschaft
Salicetea arenariae;Weber 1999;KLA;  Salicetea arenariae
Salicetalia arenariae;Preising et Weber 1997;ORD;    Salicetalia arenariae
Salicion arenariae;Tx. ex Passarge et Scamoni 1943;VRB;      Salicion arenariae
Hippophao-Salicetum arenariae;Tx. 1937 nom. invalid.;ASS;        Hippophao-Salicetum arenariae
Roso pimpinellifoliae-Salicetum arenariae;Passarge in Scamoni 1963;ASS;        Roso pimpinellifoliae-Salicetum arenariae
Polypodio-Salicetum arenariae;Boerboom 1960 nom. conserv. propos.;ASS;        Polypodio-Salicetum arenariae
Pyrolo-Hippophaetum;Weber 1999;ASS;        Pyrolo-Hippophaetum
Ammophila arenaria-Rosa rugosa-Gesellschaft;;ASS;        Ammophila arenaria-Rosa rugosa-Gesellschaft
Salicetea purpureae;Moor 1958;KLA;  Salicetea purpureae
Salicetalia purpureae;Moor 1958;ORD;    Salicetalia purpureae
Salix purpurea-Gesellschaft;;ASS;        Salix purpurea-Gesellschaft
Salicion eleagno-daphnoidis;(Moor 1958) Grass 1993;VRB;      Salicion eleagno-daphnoidis
Myricarietum;Jeník 1955;ASS;        Myricarietum
Salicetum eleagno-purpureae;Sillinger 1933 nom. mutat. propos.;ASS;        Salicetum eleagno-purpureae
Salicion albae;Soó 1930;VRB;      Salicion albae
Salicetum triandrae;Malcuit ex Noirfalise in Lebrun et al. 1955;ASS;        Salicetum triandrae
Salicetum albae;Issler 1926;ASS;        Salicetum albae
Salicetum fragilis;Passarge 1957;ASS;        Salicetum fragilis
Loiseleurio-Vaccinietea;Eggler ex R. Schubert 1960;KLA;  Loiseleurio-Vaccinietea
Rhododendro-Vaccinietalia;Br.-Bl. in Br.-Bl. et Jenny 1926;ORD;    Rhododendro-Vaccinietalia
Loiseleurio-Vaccinion;Br.-Bl. in Br.-Bl. et Jenny 1926;VRB;      Loiseleurio-Vaccinion
Empetro hermaphroditi-Vaccinietum gaultherioidis;Br.-Bl. in Br.-Bl. et Jenny 1926 corr. Grabherr 1993;ASS;        Empetro hermaphroditi-Vaccinietum gaultherioidis
Arctostaphylo alpinae-Loiseleurietum;Oberd. 1950;ASS;        Arctostaphylo alpinae-Loiseleurietum
Rhododendretum ferruginei;Rübel 1911;ASS;        Rhododendretum ferruginei
Calamagrostis villosa-Pinus mugo-Gesellschaft;;ASS;        Calamagrostis villosa-Pinus mugo-Gesellschaft
XI. Waldgesellschaften;;FOR;XI. Waldgesellschaften
Alnetea glutinosae;Br.-Bl. et Tx. ex Westhoff et al. 1946;KLA;  Alnetea glutinosae
Alnetalia glutinosae;Tx. 1937;ORD;    Alnetalia glutinosae
Rubus idaeus-Alnus glutinosa-Gesellschaft;;ASS;        Rubus idaeus-Alnus glutinosa-Gesellschaft
Urtico-Alnetum;(Scamoni 1935) Fukarek 1961;ZEH;          Urtico-Alnetum
Alnion glutinosae;Malcuit 1929;VRB;      Alnion glutinosae
Alnion glutinosae-Basalgesellschaft;;ASS;        Alnion glutinosae-Basalgesellschaft
Equiseto-Betuletum carpaticae;Lohmeyer et Bohn 1972;ZEH;          Equiseto-Betuletum carpaticae
Alnus incana-Sumpfwald;;ZEH;          Alnus incana-Sumpfwald
Carici elongatae-Alnetum glutinosae;Schwickerath 1933;ASS;        Carici elongatae-Alnetum glutinosae
Sphagno palustris-Alnetum;Allorge ex Lemée 1939;ASS;        Sphagno palustris-Alnetum
Erico-Pinetea;Horvat 1959;KLA;  Erico-Pinetea
Erico-Pinetalia;Horvat 1959;ORD;    Erico-Pinetalia
Erico-Pinion sylvestris;Br.-Bl. in Br.-Bl. et al. 1939 nom. invers. propos.;VRB;      Erico-Pinion sylvestris
Calamagrostio variae-Pinetum sylvestris;Oberd. (1950) 1957;ASS;        Calamagrostio variae-Pinetum sylvestris
Cephalanthera longifolia-Pinus mugo-Gesellschaft;;ASS;        Cephalanthera longifolia-Pinus mugo-Gesellschaft
Molinia arundinacea-Pinus sylvestris-Gesellschaft;;ASS;        Molinia arundinacea-Pinus sylvestris-Gesellschaft
Thesium bavarum-Pinus sylvestris-Gesellschaft;;ASS;        Thesium bavarum-Pinus sylvestris-Gesellschaft
Buphthalmum salicifolium-Pinus sylvestris-Gesellschaft;;ASS;        Buphthalmum salicifolium-Pinus sylvestris-Gesellschaft
Sanguisorba minor-Pinus sylvestris-Gesellschaft;;ASS;        Sanguisorba minor-Pinus sylvestris-Gesellschaft
Erico-Pinion mugo;Leibundgut 1948 nom. invers. propos.;VRB;      Erico-Pinion mugo
Rhododendro hirsuti-Pinetum mugo;Br.-Bl. et al. 1939 nom. invers. propos.;ASS;        Rhododendro hirsuti-Pinetum mugo
Vaccinio-Piceetea;Br.-Bl. in Br.-Bl. et al. 1939;KLA;  Vaccinio-Piceetea
Piceetalia;Pawlowski in Pawlowski et al. 1928;ORD;    Piceetalia
Dicrano-Pinion;(Libbert 1932) Matuszkiewicz 1962;VRB;      Dicrano-Pinion
Peucedano-Pinetum;Matuszkiewicz 1962;ASS;        Peucedano-Pinetum
Empetro nigri-Pinetum;Libbert 1940 nom. invers. propos.;ASS;        Empetro nigri-Pinetum
Hieracio schmidtii-Pinetum;Stöcker 1965;ASS;        Hieracio schmidtii-Pinetum
Leucobryo-Pinetum;Matuszkiewicz 1962;ASS;        Leucobryo-Pinetum
Cladonio-Pinetum;Juraszek 1927;ASS;        Cladonio-Pinetum
Deschampsia flexuosa-Pinus sylvestris-Gesellschaft;;ASS;        Deschampsia flexuosa-Pinus sylvestris-Gesellschaft
Betula pubescens-Sorbus aucuparia-Gesellschaft;;ASS;        Betula pubescens-Sorbus aucuparia-Gesellschaft
Piceion abietis;Pawlowski in Pawlowski et al. 1928;VRB;      Piceion abietis
Luzulo nemorosae-Abietetum;Oberd. 1957 nom. conserv. propos.;ASS;        Luzulo nemorosae-Abietetum
Betula carpatica-Picea abies-Gesellschaft;;ASS;        Betula carpatica-Picea abies-Gesellschaft
Vaccinio-Abietetum;Oberd. 1957;ASS;        Vaccinio-Abietetum
Bazzanio-Piceetum;Br.-Bl. et Sissingh in  Br.-Bl. et al. 1939;ASS;        Bazzanio-Piceetum
Calamagrostio villosae-Piceetum;(Tx. 1937) Hartmann et Schlüter 1966 nom. conserv. propos.;ASS;        Calamagrostio villosae-Piceetum
Homogyno-Piceetum;Zukrigl 1973 nom. conserv. propos.;ASS;        Homogyno-Piceetum
Adenostylo glabrae-Piceetum;M. Wraber ex Zukrigl 1973;ASS;        Adenostylo glabrae-Piceetum
Asplenio-Piceetum;Kuoch 1954;ASS;        Asplenio-Piceetum
Vaccinio-Pinetum cembrae;(Pallmann et Haffter 1933) Oberd. 1962;ASS;        Vaccinio-Pinetum cembrae
Vaccinio uliginosi-Pinetea sylvestris;Passarge et Hofmann 1968;KLA;  Vaccinio uliginosi-Pinetea sylvestris
Molinia caerulea-Betula pubescens-Gesellschaft;;ASS;        Molinia caerulea-Betula pubescens-Gesellschaft
Vaccinio uliginosi-Pinetalia sylvestris;Passarge et Hofmann 1968;ORD;    Vaccinio uliginosi-Pinetalia sylvestris
Betulion pubescentis;Lohmeyer et Tx. ex Scamoni et Passarge 1959;VRB;      Betulion pubescentis
Vaccinio uliginosi-Betuletum pubescentis;Libbert 1933;ASS;        Vaccinio uliginosi-Betuletum pubescentis
Vaccinio uliginosi-Betuletum pubescentis;Libbert 1933 s.str.;ZEH;          Vaccinio uliginosi-Betuletum pubescentis
Vaccinio-Pinetum sylvestris;De Kleist 1929;ZEH;          Vaccinio-Pinetum sylvestris
Vaccinio-Pinetum rotundatae;Oberd. 1934;ZEH;          Vaccinio-Pinetum rotundatae
Vaccinio-Piceetum;Tx. 1955;ZEH;          Vaccinio-Piceetum
Carici lasiocarpae-Pinetalia sylvestris;Wagner nom. prov.;ORD;    Carici lasiocarpae-Pinetalia sylvestris
Carici lasiocarpae-Pinion sylvestris;Wagner nom. prov.;VRB;      Carici lasiocarpae-Pinion sylvestris
Carex lasiocarpa-Pinus rotundata-Gesellschaft;;ASS;        Carex lasiocarpa-Pinus rotundata-Gesellschaft
Rhamnus cathartica-Betula carpatica-Gesellschaft;;ASS;        Rhamnus cathartica-Betula carpatica-Gesellschaft
Carex fusca-Betula pubescens-Gesellschaft;;ASS;        Carex fusca-Betula pubescens-Gesellschaft
Querco-Fagetea;Br.-Bl. et Vlieger in Vlieger 1937;KLA;  Querco-Fagetea
Quercetalia roboris;Tx. 1931;ORD;    Quercetalia roboris
Quercion roboris;Malcuit 1929;VRB;      Quercion roboris
Betulo pendulae-Quercetum roboris;Tx. 1930 nom. invers. propos.;ASS;        Betulo pendulae-Quercetum roboris
Deschampsio flexuosae-Quercetum roboris;Passarge 1966;ASS;        Deschampsio flexuosae-Quercetum roboris
Luzulo-Quercetum petraeae;Hilitzer 1932 nom. invers. propos.;ASS;        Luzulo-Quercetum petraeae
Cladonio portentosae-Quercetum;Pallas 1996;ZEH;          Cladonio portentosae-Quercetum
Calamagrostio arundinaceae-Quercetum petraeae;(Hartmann 1934) Scamoni et Passarge 1959;ASS;        Calamagrostio arundinaceae-Quercetum petraeae
Luzulo-Fagion;Lohmeyer et Tx. in Tx. 1954;VRB;      Luzulo-Fagion
Luzulo-Fagetum;Meusel 1937;ASS;        Luzulo-Fagetum
Deschampsio flexuosae-Fagetum silvaticae;Schröder 1938 nom. invers. propos.;ZEH;          Deschampsio flexuosae-Fagetum silvaticae
Periclymeno-Fagetum;Passarge 1957;ZEH;          Periclymeno-Fagetum
Maianthemo-Fagetum, Ausbildungen nährstoffärmerer Standorte;Passarge 1960;ZEH;          Maianthemo-Fagetum, Ausbildungen nährstoffärmerer Standorte
Calamagrostio villosae-Fagetum;Mikyska 1972;ASS;        Calamagrostio villosae-Fagetum
Quercetalia pubescentis;Klika 1933;ORD;    Quercetalia pubescentis
Quercion pubescenti-petraeae;Br.-Bl. 1932 nom. mutat. propos.;VRB;      Quercion pubescenti-petraeae
Quercetum pubescenti-petraeae;Imchenetzky 1926 nom. invers. propos.;ASS;        Quercetum pubescenti-petraeae
Aceri monspessulani-Quercetum petraeae;Oberd. 1957;ASS;        Aceri monspessulani-Quercetum petraeae
Potentillo albae-Quercetum petraeae;Libbert 1933;ASS;        Potentillo albae-Quercetum petraeae
Fagetalia sylvaticae;Pawlowski in Pawlowski et al. 1928;ORD;    Fagetalia sylvaticae
Alno-Ulmion minoris;Br.-Bl. et Tx. ex Tchou 1948 / 1949 nom. conserv. propos.;VRB;      Alno-Ulmion minoris
Alnetum incanae;Lüdi 1921;ASS;        Alnetum incanae
Stellario nemorum-Alnetum glutinosae;Lohmeyer 1957;ASS;        Stellario nemorum-Alnetum glutinosae
Pruno-Fraxinetum;Oberd. 1953;ASS;        Pruno-Fraxinetum
Circaeo-Alnetum glutinosae;Oberd. 1953;ZEH;          Circaeo-Alnetum glutinosae
Carici remotae-Fraxinetum;W. Koch 1926 ex Faber 1937;ASS;        Carici remotae-Fraxinetum
Querco-Ulmetum;Issler 1924;ASS;        Querco-Ulmetum
Carpinion betuli;Issler 1931;VRB;      Carpinion betuli
Stellario-Carpinetum;Oberd. 1957;ASS;        Stellario-Carpinetum
Galio-Carpinetum;Oberd. 1957;ASS;        Galio-Carpinetum
Tilio platyphylli-Acerion pseudoplatani;Klika 1955;VRB;      Tilio platyphylli-Acerion pseudoplatani
Aceri-Tilietum platyphylli;Faber 1936 nom. conserv. propos.;ASS;        Aceri-Tilietum platyphylli
Fraxino-Aceretum;W. Koch ex Tx. 1937;ASS;        Fraxino-Aceretum
Adoxo-Aceretum;Passarge 1960 nom. conserv. propos.;ASS;        Adoxo-Aceretum
Deschampsio cespitosae-Aceretum;Bohn 1984;ZEH;          Deschampsio cespitosae-Aceretum
Fagion sylvaticae;Luquet 1926;VRB;      Fagion sylvaticae
Galio odorati-Fagetum;Sougnez et Thill 1959 nom. conserv. propos.;ASS;        Galio odorati-Fagetum
Maianthemo-Fagetum, Ausbildungen nährstoffreicherer Standorte;Passarge 1960;ZEH;          Maianthemo-Fagetum, Ausbildungen nährstoffreicherer Standorte
Oxalido-Fagetum;von Glahn 1981;ZEH;          Oxalido-Fagetum
Milio-Fagetum;Burrichter et Wittig 1977;ZEH;          Milio-Fagetum
Hordelymo-Fagetum;Kuhn 1937;ASS;        Hordelymo-Fagetum
Dentario heptaphyllae-Fagetum;(Moor 1952) Th. Müller 1966;ZEH;          Dentario heptaphyllae-Fagetum
Lathyro-Fagetum;Hartmann 1953;ZEH;          Lathyro-Fagetum
Dentario bulbiferae-Fagetum;Lohmeyer 1962;ZEH;          Dentario bulbiferae-Fagetum
Aposerido-Fagetum;Oberd. 1950 ex Oberd. 1957;ASS;        Aposerido-Fagetum
Galio rotundifolii-Abietetum;Wraber (1955) 1959 nom. conserv. propos.;ASS;        Galio rotundifolii-Abietetum
Adenostylo glabrae-Abietetum;H. Mayer et A. Hofmann 1969;ASS;        Adenostylo glabrae-Abietetum
Pyrolo-Abietetum;Oberd. 1957;ASS;        Pyrolo-Abietetum
Carici-Fagetum;Moor 1952;ASS;        Carici-Fagetum
Seslerio-Fagetum;Moor 1952;ASS;        Seslerio-Fagetum
Anthropogene Gehölzgesellschaften;;KLA;  Anthropogene Gehölzgesellschaften
Robinia pseudacacia-Gesellschaft;;ASS;        Robinia pseudacacia-Gesellschaft
Ailanthus altissima-Gesellschaft;;ASS;        Ailanthus altissima-Gesellschaft
Buddleja davidii-Gesellschaft;;ASS;        Buddleja davidii-Gesellschaft
Rosa rugosa-Gesellschaft;;ASS;        Rosa rugosa-Gesellschaft
Lycium barbarum-Gesellschaft;;ASS;        Lycium barbarum-Gesellschaft
Lycium chinense-Gesellschaft;;ASS;        Lycium chinense-Gesellschaft
Crataegus monogyna-Ruderalgesellschaft;;ASS;        Crataegus monogyna-Ruderalgesellschaft
Prunus serotina-Gesellschaft;;ASS;        Prunus serotina-Gesellschaft
Amelanchier lamarckii-Gesellschaft;;ASS;        Amelanchier lamarckii-Gesellschaft
Rubus armeniacus-Gesellschaft;;ASS;        Rubus armeniacus-Gesellschaft
